These are the redirects that are being changed. 
from_path: /development/phonathons/sponsors to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/phonathons/sponsors/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/phonathons/contact to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/phonathons/contact/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/phonathons/phonathon-giving-form to_url changing from: http://www.bethel.edu/giving/phonathon/ to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fget-involved%2Froyal-legacy%2Fcall-team%2F
from_path: /development/phonathons/phonathon-giving-form/ to_url changing from: http://www.bethel.edu/giving/phonathon/ to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fget-involved%2Froyal-legacy%2Fcall-team%2F
from_path: /development/annual-fund/phonathons/ to_url changing from: http://www.bethel.edu/giving/phonathon/ to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fget-involved%2Froyal-legacy%2Fcall-team%2F
from_path: /development/annual-fund/phonathons to_url changing from: http://www.bethel.edu/giving/phonathon/ to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fget-involved%2Froyal-legacy%2Fcall-team%2F
from_path: /development/annual-report/index.html to_url changing from: http://www.bethel.edu/oops to: https://www.bethel.edu/oops
from_path: /publications/heartmind/hmindex.html to_url changing from: http://www.bethel.edu/news/publications/ to: https://www.bethel.edu/news/publications/
from_path: /special-events/golf-classic/ to_url changing from: http://www.bethel.edu/giving/events/golf-classic/ to: https://www.bethel.edu/events/golf-classic/
from_path: /InterCom.htm to_url changing from: http://www.bethel.edu/intercom/ to: https://www.bethel.edu/
from_path: /campus-ministries/chapel/info to_url changing from: http://cas.bethel.edu/campus-ministries/worship/chapel to: https://www.bethel.edu/undergrad/campus-ministries/worship/chapel
from_path: /campus-ministries/chapel/info/ to_url changing from: http://cas.bethel.edu/campus-ministries/worship/chapel to: https://www.bethel.edu/undergrad/campus-ministries/worship/chapel
from_path: /off-campus-programs/international-studies to_url changing from: http://cas.bethel.edu/off-campus-programs/international-studies/ to: https://www.bethel.edu/international-studies/
from_path: /galleries/flash.html to_url changing from: http://www.bethel.edu/events/arts/galleries/ to: https://www.bethel.edu/events/arts/galleries/
from_path: /special-events/BHM to_url changing from: http://www.bethel.edu/oops to: https://www.bethel.edu/oops
from_path: /special-events/BHM/ to_url changing from: http://www.bethel.edu/oops to: https://www.bethel.edu/oops
from_path: /about-bu/quick-facts.html to_url changing from: http://www.bethel.edu/about/bethel-glance/ to: https://www.bethel.edu/about/bethel-glance/
from_path: /about-bu/mission-vision.html to_url changing from: http://www.bethel.edu/about/mission-history to: https://www.bethel.edu/about/history
from_path: /about-bu/values.html to_url changing from: http://www.bethel.edu/about/values to: https://www.bethel.edu/about/mission-vision
from_path: /convenant/index.html to_url changing from: http://www.bethel.edu/about/covenant to: https://www.bethel.edu/about/faith/covenant
from_path: /about-bu/contact-us/ to_url changing from: http://www.bethel.edu/about/contact/ to: https://www.bethel.edu/about/contact/
from_path: /special-events/campus_map.htm to_url changing from: http://www.bethel.edu/about/maps-directions/ to: https://www.bethel.edu/about/maps-directions/
